Word Order,Frequency_SSJ,Example_Sentence_SSJ,Frequency_SST,Example_Sentence_SST
O,14.0,Obsojena sta bila dvojnega umora .,8.0,hvala vam za eee vašo pripombo
OO,1.0,"Samo meni so dolžni plačo za dva meseca , poleg tega tudi premije za celo sezono in tako naprej .",1.0,ja kaj ti je napi-
OOOSV,0.0,0,1.0,pa je Števanovce v krčmi mojemu očetu tja pravil ka v kakšno navoljo je pa ga je moj oče skril
OOOVVVO,0.0,0,1.0,in v bistvu ti poz- te v- te vprašam [name:personal] [name:surname] si sploh še upaš eee na glas izreči besedo čka
OOSV,2.0,"» Ai Xue , mu ga lahko ti narišeš ?",0.0,0
OOSVOVOVVV,1.0,"Jasno Hribernik so nam sodelavci opisali kot deloholičarko in nežno dušo hkrati , Maria Galuniča pa zanima predvsem , kako ji uspeva narediti toliko , ob tem , da vzorno skrbi za osnovnošolko Zalo .",0.0,0
OOSVSVS,0.0,0,1.0,ja zdaj ena od pomembnih novosti ki smo jih eee ki jih je v bistvu Republika Slovenija uzakonila je to e da morajo biti vsi otroci pred vključitvijo v e kolektivno varstvo v vrtce obvezno precepljeni proti ošpicam mumpsu in rdečkam
OOSVVOVO,1.0,"Krivdo za paniko , ki jo je pojav neozdravljive pljučnice sprožil na kitajskem jugu , pa pripisujejo množični uporabi sporočil SMS med Kitajci , ki imajo približno 300 milijonov mobilnih telefonov .",0.0,0
OOSVVSVV,0.0,0,1.0,dostopno je vsem vsem je dostopno če pa kdo noče v šolo hoditi pa ni problem v nas eee ki kje drugje se potem te zadeve morajo reševati
OOSVVV,0.0,0,1.0,ne ne saj to ti mi samo zavidamo veš da ne boš mislil da je res kaj
OOV,16.0,"/ 32 Prim. W. Heinsius , Allgemeines Bücherlexikon ( 1700 – 1810 ) , Leipzig 1812 , 2. zv. , kjer je izrinjanje historije v korist zgodovine / zgodbe mogoče razbrati v naslovih .",11.0,[name:personal] so ga dali
OOVOV,1.0,"In mu jo je izpolnil , čeprav tako , da ga je napeljal k zločinu .",0.0,0
OOVOVO,0.0,0,1.0,saj se mi ne zdaj so mi poslali račun za petdeset evrov ker imam preveč artiklov
OOVOVOV,1.0,"Tega jim tudi ne zamerim , saj so nas pač kupili v nekem svežnju , sčasoma pa smo jim postajali vedno večje breme .",1.0,ma ga boš lahko ji posodila ali ga boš rabila ga zašijem
OOVOVOVOVOOV,1.0,"Ko boste njemu nekaj predlagali ali ko boste njo izzvali , naj vam pove svoje stališče , boste najbrž slišali nekaj povsem drugega od tistega , kar ste pričakovali .",0.0,0
OOVOVS,1.0,"To ti bodo zagotovo sešili v šivalnici , mar ne ? « jo je pobarala druga .",0.0,0
OOVOVSO,0.0,0,1.0,osnovne življenjske potrebe pa si zagotavljajo s pomočjo socialnih transferjev ki jih daje država pravzaprav vsem ljudem ne samo njim
OOVOVSV,0.0,0,1.0,tako eee to bi kaj pa vem bi kar ene štiri vzel no ker zdaj se to vse obrne
OOVOVVO,0.0,0,1.0,ekonomski kapital kot tak eee ti najlažje razložim kot kapital ki ga v sami osnovi že poznaš torej eee da dobiš neko finančno vrednost ne
OOVS,5.0,""" Na podlagi tega , kar mi pove tržišče .",3.0,eno so eno bojo verjetno poslali domov no tudi to je del igre
OOVSOVVVO,0.0,0,1.0,tudi če bi si jo poiskali pa bi bila zaradi izterjanih izvršb plača v tem primeru zagotovo manjša od socialnih transferjev česar se zavedajo in zato tudi ne želijo aktivno iskati zaposlitve
OOVSS,1.0,"Gospodarski kolobociji pa piskrčke pristavljajo politiki in vojska z južnega dela azijske celine z jedrskimi poskusi , tako da je destabilizacijska slika celotne regije začrtana .",0.0,0
OOVSSOVOVS,1.0,"Medtem pa diskrecija , ki mu jo je nalagala ustava , njegova izjemno rezervirana drža glede občil , prav tako pa preprostost in dostojanstvo njegovega življenja , vse to ga je držalo ob strani agitacije , ki so jo izvajali ustvarjalci mnenj .",0.0,0
OOVSSVOS,1.0,"Na namige , da Kopaču podporo odrekajo tudi nekateri poslanci liberalne demokracije , med drugim vodja poslanske skupine Tone Anderlič , minister pravi , da mu to ni znano .",0.0,0
OOVSSVOVV,1.0,"Posamezne ekspertize mi je dala cela vrsta ljudi , moja sodelavka in jaz pa sva morala vse to urediti in v določenih rokih oddati v tiskarno .",0.0,0
OOVSSVSV,0.0,0,1.0,ne razpolaganju s premoženjem pravijo Koper Ljubljana banke upnice vztrajajo pri takojšnjem odhodu Bavčarja o temu smo tudi mi že govorili
OOVSV,2.0,"Tako nizke gladine , kot jo ima Kolpa letos , še nikoli nisem videl .",0.0,0
OOVSVO,2.0,"Prav to , » tiho « spremembo namembnosti begunskega centra v prehodni dom za tujce , kot so jo v Hrastniku takrat poimenovali , so Hrastničani , še posebno pa njihova SNS , najbolj zamerili pristojnim na državi .",0.0,0
OOVSVOVV,1.0,"Kaj mu hoče bog povedati s tem , da ga , kot danes rečemo , ne jebe ?",0.0,0
OOVSVSV,0.0,0,1.0,aha to tudi so jim kar dali jah to je takoj na ekonomiji pa takoj denar biznis laufa
OOVSVVO,2.0,"Najprej jim jo je zagodel propadel poskus združevanja z Rudarjem , ostali so brez glavnega pokrovitelja , posledično pa so izgubili tudi nekaj igralcev in trenerja Jarca .",0.0,0
OOVSVVVO,1.0,"Poročilo za leto 1999 , ki ga je oblikoval Studio Marketing JWT , so začeli pripravljati že leta 1997 , ko so z zunanjo agencijo postavili vsebinski in likovni koncept letnih poročil za naslednje štiri leta .",0.0,0
OOVSVVVOVS,1.0,"Če skalo , ki jo je z glasom premaknil Ali Baba , opazujemo od daleč , nikakor ne moremo vedeti , ali jo je premaknila čarovnija ali vgrajeni mehanizem s sposobnostjo prepoznave govora .",0.0,0
OOVV,6.0,Tudi čevljev si ne boste znali kupiti več brez pomoči .,1.0,a to meni prepustite da razdelam pa pol
OOVVOV,2.0,"DOMOVANJE SI JE IZBRALA NA SAMEM IN SE DRUŽILA LE Z ROBATIMI RUDARJI V BLIŽNJEM NASELJU , KI SO JO IMELI ZA MEHKUŽNEGA FANTA .",0.0,0
OOVVOVO,1.0,"Slovenskemu kandidatu Damijanu Švajncerju - Butinarju ( na sliki s testnim voznikom McLarna Pedrom de la Roso ) si po ostrih bojih sicer ni uspelo priboriti sedeža dirkalnika formule 1 , a je vseeno doživel nepozaben bencinski dan .",0.0,0
OOVVOVVOVO,1.0,"Dekonstruktivizmu , ki ga je treba kljub vsem pridržkom do takih pojmov pripisati Libeskindu , grozi , da bo dobil frivolen priokus , ko naj bi nadomestil poslopja , ki so bila na podobno nasilen način dekonstruirana kot » twin towers « .",0.0,0
OOVVS,3.0,"Danes nam to našo strategijo priznajo , je dejal koroški deželni vladar .",1.0,starši otrok z atopijskim dermatitisom tukaj kot nam sami pravijo prizadene tudi precej različna praksa pri pri odločanju eem za ta dodatek
OOVVSOV,0.0,0,1.0,namen ga imam pogledati ampak drugi del mi je tudi e najbolj všeč zaradi tega ker je to nekako najbolj smešno
OOVVSV,1.0,"Ker smo se » spanja « na delovnih mestih bolezni , ki nas je ( menda ) pestila skoraj petdeset let šele dobro ozdravili , je malo verjetno , da se bodo kavči , zofe in podobni kosi pohištva kmalu vrnili v naše pisarne .",0.0,0
OOVVSVVV,1.0,"Odločitev mu je pomagal sprejeti kar Černomirdin sam , ki je odstopil od kandidature , ker ne želi biti "" jabolko "" spora v kriznem obdobju , ki ta hip vlada v Rusiji .",0.0,0
OOVVV,1.0,"Vsakega zobatca , ki ga bomo ujeli in pojedli , se bomo spominjali vse življenje .",0.0,0
OOVVVOV,1.0,"Cilju , da bi poslance volili po dvokrožnem večinskem sistemu , se niso odrekli - s političnimi zavezniki nameravajo po volitvah v parlamentu ustavno volilno ureditev spremeniti .",0.0,0
OOVVVSVVOV,0.0,0,1.0,brez drugega dramaturga tako da pozorni še posebej bodite na [name:personal] ker bo drugi del v d dramaturga v smislu da te stvari kar bomo eee poskušali v likih ustvarjati bomo t- skozi govor in bo [name:personal] mogla malo večkrat posr- pomagati na tej poti da to dejansko dobimo
OOVVVV,0.0,0,1.0,pa e tega res mi ne zamerite prosim ampak vedno znova se čaka da se bo vendarle krenilo tudi na tem področju varovanja otrokovih pravic
OOVVVVS,2.0,"Berlin - Nove bankovce za sto evrov , ki naj bi jih kot skupno valuto v Evropi začeli uporabljati čez leto in pol , je mogoče barvno fotokopirati , trdi Frankfurter Allgemeine Zeitung .",0.0,0
OOVVVVV,1.0,"Ob misli na to mi je zmeraj nelagodno ; ali sem jo , ker "" nikdar ne morem počakati "" , spravil "" ne , raje nočem misliti na to "" na rob obupa ?",0.0,0
OS,16.0,Njej je v zbirki enajstih izbirnikov posvečen še celoten izbirnik .,2.0,očitno je kritikom našega dela ta misel tuja
OSO,1.0,"Kljub britanski vojaški upravi je bil Avstrijskemu cesarstvu dodeljen trgovinski status , enak statusu VB .",0.0,0
OSOSVSVOSV,1.0,"Piran - Čeprav je vodstvu piranske občine jasno , da je problem beguncev , ki jih je slovenska oblast evakuirala iz obleganega Sarajeva , predvsem stvar države , se je ob zadnjih zapletih županja Vojka Štular odločila , da jim bo občina po svojih močeh pomagala .",0.0,0
OSOSVV,1.0,"Vsak dan ob štirih zjutraj jih razpadajoči vlak , ki ga je vlada leta 1937 rabljenega kupila od Nemcev , odpelje na delo v osemdeset kilometrov oddaljeni Rio .",0.0,0
OSOVO,1.0,"Znano pa je , da mu starši niso bili naklonjeni in so mu izkazovali zelo malo ljubezni .",0.0,0
OSOVS,1.0,"Umora je osumljen 18 - letni Rom , ki sta mu pri zločinu pomagala sorodnika , 16 - letnik in komaj 13 leta in pol star fant - Koristoljubje",0.0,0
OSOVSV,1.0,"Verjetno ga delo v eksperimentalnem gledališču , kot smo si ga predstavljali mi , ni pretirano zanimalo .",0.0,0
OSOVV,0.0,0,1.0,in pol me je tistih ostalih sedemsto osemsto nekaj sem malega sem porabil za hrano še žul- žulilo
OSOVVOOVS,1.0,"Še posebno , če si prvi mož opozicije to privošči ob tem , da niti z besedico ne omeni odgovornosti nadzornega odbora RTVS , ki ga naključje ? vodi njegov strankarski kolega .",0.0,0
OSOVVOVSVSOV,1.0,"Morda se jim nič od tega , kar je povedal , ni zdelo tako zelo pomembno za prihodnost Kitajske , kakor so se jim zdele usodne Busheve besede , je pa pred njimi stal idol , kakršnega bi vsekakor radi imeli na čelu svoje države .",0.0,0
OSOVVV,1.0,"Vse , kar se vam bo dogajalo , boste morali deliti z drugimi .",0.0,0
OSOVVVO,1.0,"Omembe vreden je še Litostroj E. I. , ki pa milijon evrov vredne pogodbe z Irakom o obnovi tamkajšnjih elektrarn zaradi vojne ni uspel realizirati do konca , potem ko je lani iz tega paketa že posodobil hidroelektrarno Haditha na reki Evfrat .",0.0,0
OSS,1.0,"Z Jezusovim žrtvovanjem na križu so bili ljudem grehi odpuščeni , vendar njihova grešna narava ni bila izkoreninjena .",0.0,0
OSSVOVO,1.0,"Na drugi strani pa muslimanom protektorat nad najsvetejšim krajem , kamor Judje nimajo vstopa , daje precej samozavesti .",0.0,0
OSSVS,1.0,"Vsem študijam je skupna ugotovitev , da se je izziv prihodnosti stopnjeval toliko , kolikor je bil lastni čas izkušan kot zmeraj novi čas , kot ‘ novi vek ’ .",0.0,0
OSV,50.0,"Temu primerna je tudi notranjost kabine , izpeljana je iz masterja in se po udobju lahko primerja z osebnim avtomobilom .",26.0,meni to tule ne bo prišlo kako to
OSVO,7.0,"Najbrž vam je znano , da ilustracije ne uživajo posebnega ugleda znotraj drugih likovnih umetnosti .",2.0,drugič v eee različne fundacije ki so bile namenjene aaa izobraževanju iraških varnostnih sil je Slovenija namenila celo vrsto finančnih sredstev
OSVOOV,1.0,"Za nekaj tisočakov si lahko vsakdo pridobi » vstopnico « za avanturo , ki jo je mogoče raztegniti tudi na ves teden .",0.0,0
OSVOOVVSVVOOV,1.0,"Na slednji očitek , ki so ga predstavniki ministrstva izrekli navzočim , in ko skupnih točk ob koncu vendarle niso mogli povzeti , so se predstavniki inštitucij seveda uprli , saj naj bi sami pogosto pisno ali ustno sporočali svoje ideje ministrstvu , kjer pa so se "" izgubile "" .",0.0,0
OSVOS,1.0,"Iz računa , ki ga uporabniki izdajo končnim potrošnikom , je razvidna plačana kavcijska vrednost embalaže .",1.0,aaa edina stvar ki kateri je javnost in tudi mediji eee posvetili pozornost so bili štirje inštruktorji v Iraku
OSVOSSV,0.0,0,1.0,če eee nam nemški avtomobilski proizvajalec zmanjša proizvodnjo za četrtino in če so na tega proizvajalca vezani naši proizvajalci potem eee nobeno zniževanje stroškov pravzaprav tukaj kaj dosti ne pomaga
