Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
человек <nsubj получили >obj ранения	человек	получили	ранения	6	10.4	ABC	3	получили
приняли >obj участие >nsubj человек	приняли	участие	человек	4	7.0	ABC	3	приняли
приняли >obj участие >nsubj тысяч	приняли	участие	тысяч	3	5.2	ABC	3	приняли
прокуратура <nsubj начала >obj проверку	прокуратура	начала	проверку	3	5.2	ABC	3	начала
суд <nsubj отклонил >obj иск	суд	отклонил	иск	3	5.2	ABC	3	отклонил
суд <nsubj принял >obj решение	суд	принял	решение	3	5.2	ABC	3	принял
Банк <nsubj установил >obj курс	Банк	установил	курс	2	3.5	ABC	3	установил
Защита <nsubj подала >obj жалобу	Защита	подала	жалобу	2	3.5	ABC	3	подала
Катера <nsubj имеют >obj водоизмещение	Катера	имеют	водоизмещение	2	3.5	ABC	3	имеют
Министр <nsubj выразил >obj уверенность	Министр	выразил	уверенность	2	3.5	ABC	3	выразил
Ответственность <obj взяла >nsubj группировка	Ответственность	взяла	группировка	2	3.5	ABC	3	взяла
Правительство <nsubj приняло >obj решение	Правительство	приняло	решение	2	3.5	ABC	3	приняло
Руководство <nsubj приняло >obj решение	Руководство	приняло	решение	2	3.5	ABC	3	приняло
большинство <nsubj поддержали >obj решение	большинство	поддержали	решение	2	3.5	ABC	3	поддержали
власти <nsubj приняли >obj решение	власти	приняли	решение	2	3.5	ABC	3	приняли
глава <nsubj выразил >obj мнение	глава	выразил	мнение	2	3.5	ABC	3	выразил
глава <nsubj высказал >obj мнение	глава	высказал	мнение	2	3.5	ABC	3	высказал
журналисты <nsubj обратили >obj внимание	журналисты	обратили	внимание	2	3.5	ABC	3	обратили
исполнитель <nsubj готовит >obj отчеты	исполнитель	готовит	отчеты	2	3.5	ABC	3	готовит
истребитель <nsubj сбил >obj самолет	истребитель	сбил	самолет	2	3.5	ABC	3	сбил
комитет <nsubj приостановил >obj членство	комитет	приостановил	членство	2	3.5	ABC	3	приостановил
компания <nsubj выпустила >obj приложение	компания	выпустила	приложение	2	3.5	ABC	3	выпустила
мероприятие <nsubj включает >obj мероприятия	мероприятие	включает	мероприятия	2	3.5	ABC	3	включает
половину <obj покроет >nsubj кредит	половину	покроет	кредит	2	3.5	ABC	3	покроет
правда <nsubj направила >obj запрос	правда	направила	запрос	2	3.5	ABC	3	направила
представители <nsubj проинформируют >obj владельцев	представители	проинформируют	владельцев	2	3.5	ABC	3	проинформируют
президент <nsubj принял >obj отставку	президент	принял	отставку	2	3.5	ABC	3	принял
приводит >nsubj издание >obj слова	приводит	издание	слова	2	3.5	ABC	3	приводит
приз <obj получил >nsubj фильм	приз	получил	фильм	2	3.5	ABC	3	получил
примут >obj участие >nsubj спортсмены	примут	участие	спортсмены	2	3.5	ABC	3	примут
силы <nsubj готовят >obj наступление	силы	готовят	наступление	2	3.5	ABC	3	готовят
