Tree	Transformed_Tree	One	Two	Three	Pattern
plavut <nsubj ima >obj plavutnic	['plavut <nsubj', 'ima', '>obj plavutnic']	S	V	O	SVO
Kaj <obj to <nsubj pomeni	['Kaj <obj', 'to <nsubj', 'pomeni']	O	S	V	OSV
POGODBO <obj ODPOVEDUJE >nsubj DELAVEC	['POGODBO <obj', 'ODPOVEDUJE', '>nsubj DELAVEC']	O	V	S	OVS
PRAVICE <obj IZVRŠUJE >nsubj PREDSTOJNIK	['PRAVICE <obj', 'IZVRŠUJE', '>nsubj PREDSTOJNIK']	O	V	S	OVS
bitna <nsubj omogoča >obj barv	['bitna <nsubj', 'omogoča', '>obj barv']	S	V	O	SVO
bitna <nsubj omogoča >obj prikaz	['bitna <nsubj', 'omogoča', '>obj prikaz']	S	V	O	SVO
jih <obj države <nsubj poslale	['jih <obj', 'države <nsubj', 'poslale']	O	S	V	OSV
kaj <obj to <nsubj pomeni	['kaj <obj', 'to <nsubj', 'pomeni']	O	S	V	OSV
kar <nsubj mi <obj zdi	['kar <nsubj', 'mi <obj', 'zdi']	S	O	V	SOV
mu <obj to <nsubj uspelo	['mu <obj', 'to <nsubj', 'uspelo']	O	S	V	OSV
otroci <nsubj samozaznave <obj primerjajo	['otroci <nsubj', 'samozaznave <obj', 'primerjajo']	S	O	V	SOV
zmagovalec <nsubj dobil >obj točk	['zmagovalec <nsubj', 'dobil', '>obj točk']	S	V	O	SVO
% <nsubj dobi >obj tolarjev	['% <nsubj', 'dobi', '>obj tolarjev']	S	V	O	SVO
% <nsubj stori >obj samomor	['% <nsubj', 'stori', '>obj samomor']	S	V	O	SVO
% <nsubj zavrnilo >obj predlog	['% <nsubj', 'zavrnilo', '>obj predlog']	S	V	O	SVO
% <obj povzroči >nsubj zastrupitev	['% <obj', 'povzroči', '>nsubj zastrupitev']	O	V	S	OVS
AST <nsubj ponuja >obj Bravo	['AST <nsubj', 'ponuja', '>obj Bravo']	S	V	O	SVO
Aaron <nsubj povezala >obj naravnanost	['Aaron <nsubj', 'povezala', '>obj naravnanost']	S	V	O	SVO
Adam <nsubj pogledal >obj doktorja	['Adam <nsubj', 'pogledal', '>obj doktorja']	S	V	O	SVO
Adaptec <nsubj prilaga >obj program	['Adaptec <nsubj', 'prilaga', '>obj program']	S	V	O	SVO
Ademar <nsubj dosegel >obj zadetka	['Ademar <nsubj', 'dosegel', '>obj zadetka']	S	V	O	SVO
Adrenalin <nsubj zniža >obj silovitost	['Adrenalin <nsubj', 'zniža', '>obj silovitost']	S	V	O	SVO
Adria <nsubj plačevala >obj polete	['Adria <nsubj', 'plačevala', '>obj polete']	S	V	O	SVO
Aerts <nsubj sledil >obj napadu	['Aerts <nsubj', 'sledil', '>obj napadu']	S	V	O	SVO
Alex <nsubj ustrelil >obj Willa	['Alex <nsubj', 'ustrelil', '>obj Willa']	S	V	O	SVO
Ali <nsubj kuhala >obj fiks	['Ali <nsubj', 'kuhala', '>obj fiks']	S	V	O	SVO
Ali <nsubj pogledala >obj čarodejko	['Ali <nsubj', 'pogledala', '>obj čarodejko']	S	V	O	SVO
Ali <nsubj slišala >obj Keza	['Ali <nsubj', 'slišala', '>obj Keza']	S	V	O	SVO
Ali <nsubj srečala >obj čarodejke	['Ali <nsubj', 'srečala', '>obj čarodejke']	S	V	O	SVO
Alice <nsubj izgubi >obj službo	['Alice <nsubj', 'izgubi', '>obj službo']	S	V	O	SVO
Alkohol <nsubj ojači >obj delovanje	['Alkohol <nsubj', 'ojači', '>obj delovanje']	S	V	O	SVO
Alkohol <nsubj škoduje >obj jetrom	['Alkohol <nsubj', 'škoduje', '>obj jetrom']	S	V	O	SVO
Alma <nsubj bolezni <obj poznala	['Alma <nsubj', 'bolezni <obj', 'poznala']	S	O	V	SOV
Američan <nsubj služil >obj kruh	['Američan <nsubj', 'služil', '>obj kruh']	S	V	O	SVO
