Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
pihak <nsubj melakukan >obj penyelidikan	pihak	melakukan	penyelidikan	25	21.7	ABC	3	melakukan
pemerintah <nsubj melakukan >obj upaya	pemerintah	melakukan	upaya	18	15.6	ABC	3	melakukan
Hal <nsubj menjadi >obj perhatian	Hal	menjadi	perhatian	17	14.7	ABC	3	menjadi
Kasus <nsubj menjadi >obj sorotan	Kasus	menjadi	sorotan	17	14.7	ABC	3	menjadi
Kasus <nsubj menjadi >obj peringatan	Kasus	menjadi	peringatan	16	13.9	ABC	3	menjadi
polisi <nsubj melakukan >obj penyelidikan	polisi	melakukan	penyelidikan	16	13.9	ABC	3	melakukan
Kasus <nsubj menjadi >obj perhatian	Kasus	menjadi	perhatian	15	13.0	ABC	3	menjadi
jumlah <nsubj mencapai >obj orang	jumlah	mencapai	orang	15	13.0	ABC	3	mencapai
Pertandingan <nsubj menjadi >obj pertandingan	Pertandingan	menjadi	pertandingan	13	11.3	ABC	3	menjadi
pemerintah <nsubj mengambil >obj tindakan	pemerintah	mengambil	tindakan	13	11.3	ABC	3	mengambil
Hal <nsubj menjadi >obj sorotan	Hal	menjadi	sorotan	12	10.4	ABC	3	menjadi
kejadian <nsubj menjadi >obj pelajaran	kejadian	menjadi	pelajaran	11	9.5	ABC	3	menjadi
orang <nsubj memiliki >obj hak	orang	memiliki	hak	10	8.7	ABC	3	memiliki
pemerintah <nsubj memberikan >obj dukungan	pemerintah	memberikan	dukungan	10	8.7	ABC	3	memberikan
kasus <nsubj menjadi >obj pelajaran	kasus	menjadi	pelajaran	9	7.8	ABC	3	menjadi
pihak <nsubj mengambil >obj tindakan	pihak	mengambil	tindakan	9	7.8	ABC	3	mengambil
kepolisian <nsubj melakukan >obj penyelidikan	kepolisian	melakukan	penyelidikan	8	6.9	ABC	3	melakukan
keselamatan <nsubj menjadi >obj prioritas	keselamatan	menjadi	prioritas	8	6.9	ABC	3	menjadi
masyarakat <nsubj menggunakan >obj hak	masyarakat	menggunakan	hak	8	6.9	ABC	3	menggunakan
pihak <nsubj memberikan >obj keterangan	pihak	memberikan	keterangan	8	6.9	ABC	3	memberikan
Hal <nsubj menjadi >obj kabar	Hal	menjadi	kabar	7	6.1	ABC	3	menjadi
Hal <nsubj menjadi >obj pelajaran	Hal	menjadi	pelajaran	7	6.1	ABC	3	menjadi
keamanan <nsubj menjadi >obj prioritas	keamanan	menjadi	prioritas	7	6.1	ABC	3	menjadi
korban <nsubj mengalami >obj luka	korban	mengalami	luka	7	6.1	ABC	3	mengalami
tim <nsubj melakukan >obj pencarian	tim	melakukan	pencarian	7	6.1	ABC	3	melakukan
Hal <nsubj memberikan >obj dampak	Hal	memberikan	dampak	6	5.2	ABC	3	memberikan
Hal <nsubj menjadi >obj bukti	Hal	menjadi	bukti	6	5.2	ABC	3	menjadi
Kasus <nsubj menjadi >obj pelajaran	Kasus	menjadi	pelajaran	6	5.2	ABC	3	menjadi
Kejadian <nsubj menjadi >obj pengingat	Kejadian	menjadi	pengingat	6	5.2	ABC	3	menjadi
Kejadian <nsubj menjadi >obj perhatian	Kejadian	menjadi	perhatian	6	5.2	ABC	3	menjadi
Kejadian <nsubj menjadi >obj peringatan	Kejadian	menjadi	peringatan	6	5.2	ABC	3	menjadi
Kondisi <nsubj menjadi >obj perhatian	Kondisi	menjadi	perhatian	6	5.2	ABC	3	menjadi
Pertandingan <nsubj menjadi >obj ajang	Pertandingan	menjadi	ajang	6	5.2	ABC	3	menjadi
keluarga <nsubj diberikan >obj ketabahan	keluarga	diberikan	ketabahan	6	5.2	ABC	3	diberikan
pemerintah <nsubj mengambil >obj langkah	pemerintah	mengambil	langkah	6	5.2	ABC	3	mengambil
pihak <nsubj meningkatkan >obj pengawasan	pihak	meningkatkan	pengawasan	6	5.2	ABC	3	meningkatkan
tim <nsubj memiliki >obj peluang	tim	memiliki	peluang	6	5.2	ABC	3	memiliki
tim <nsubj memiliki >obj pemain	tim	memiliki	pemain	6	5.2	ABC	3	memiliki
tim <nsubj meraih >obj kemenangan	tim	meraih	kemenangan	6	5.2	ABC	3	meraih
Hal <nsubj menjadi >obj tantangan	Hal	menjadi	tantangan	5	4.3	ABC	3	menjadi
Kejadian <nsubj menjadi >obj pelajaran	Kejadian	menjadi	pelajaran	5	4.3	ABC	3	menjadi
Kemenangan <nsubj menjadi >obj modal	Kemenangan	menjadi	modal	5	4.3	ABC	3	menjadi
Pernyataan <nsubj menjadi >obj sorotan	Pernyataan	menjadi	sorotan	5	4.3	ABC	3	menjadi
Pihak <nsubj melakukan >obj penyelidikan	Pihak	melakukan	penyelidikan	5	4.3	ABC	3	melakukan
hal <nsubj menjadi >obj bukti	hal	menjadi	bukti	5	4.3	ABC	3	menjadi
