Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
герой <nsubj наполнил >obj кубки	герой	наполнил	кубки	2	12.3	ABC	3	наполнил
задача <nsubj включает >obj подготовку	задача	включает	подготовку	2	12.3	ABC	3	включает
изобретение <nsubj оказало >obj влияние	изобретение	оказало	влияние	2	12.3	ABC	3	оказало
кокаин <nsubj вызывает >obj зависимость	кокаин	вызывает	зависимость	2	12.3	ABC	3	вызывает
отделение <nsubj приняло >obj решение	отделение	приняло	решение	2	12.3	ABC	3	приняло
тренер <nsubj выразил >obj мнение	тренер	выразил	мнение	2	12.3	ABC	3	выразил
учреждения <nsubj играют >obj роль	учреждения	играют	роль	2	12.3	ABC	3	играют
человек <nsubj получили >obj ранения	человек	получили	ранения	2	12.3	ABC	3	получили
MERS-CoV <nsubj предпочитает >obj дипептидилпептидазу	MERS-CoV	предпочитает	дипептидилпептидазу	1	6.2	ABC	3	предпочитает
Specialists <nsubj taking >obj part	Specialists	taking	part	1	6.2	ABC	3	taking
aircraft <nsubj performing >obj manoeuvres	aircraft	performing	manoeuvres	1	6.2	ABC	3	performing
competition <nsubj receive >obj prize	competition	receive	prize	1	6.2	ABC	3	receive
development <nsubj plays >obj role	development	plays	role	1	6.2	ABC	3	plays
fans <nsubj awaiting >obj release	fans	awaiting	release	1	6.2	ABC	3	awaiting
incident <nsubj caused >obj concern	incident	caused	concern	1	6.2	ABC	3	caused
lack <nsubj generated >obj controversy	lack	generated	controversy	1	6.2	ABC	3	generated
organizers <nsubj promised >obj prizes	organizers	promised	prizes	1	6.2	ABC	3	promised
party <nsubj wins >obj elections	party	wins	elections	1	6.2	ABC	3	wins
percent <nsubj evaluated >obj work	percent	evaluated	work	1	6.2	ABC	3	evaluated
percent <nsubj regarded >obj performance	percent	regarded	performance	1	6.2	ABC	3	regarded
percent <nsubj regarded >obj work	percent	regarded	work	1	6.2	ABC	3	regarded
schoolboy <nsubj received >obj reward	schoolboy	received	reward	1	6.2	ABC	3	received
