Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
Директорът <nsubj извършил >obj проверка	Директорът	извършил	проверка	20		ABC	3	извършил
публикация <nsubj печели >obj НАГРАДА	публикация	печели	НАГРАДА	18		ABC	3	печели
директорът <nsubj назначи >obj лице	директорът	назначи	лице	14		ABC	3	назначи
управители <nsubj предложат >obj схеми	управители	предложат	схеми	12		ABC	3	предложат
вода <nsubj осигури >obj водоснабдяване	вода	осигури	водоснабдяване	12		ABC	3	осигури
партии <nsubj имат >obj корени	партии	имат	корени	12		ABC	3	имат
мераците <nsubj срещнат >obj оценката	мераците	срещнат	оценката	12		ABC	3	срещнат
прокуратура <nsubj внесе >obj акт	прокуратура	внесе	акт	11		ABC	3	внесе
водач <nsubj предприел >obj маневра	водач	предприел	маневра	10		ABC	3	предприел
Ръстът <nsubj надмине >obj ниво	Ръстът	надмине	ниво	10		ABC	3	надмине
властите <nsubj решат >obj случай	властите	решат	случай	10		ABC	3	решат
съвет <nsubj прие >obj оставката	съвет	прие	оставката	10		ABC	3	прие
курсове <nsubj включват >obj образование	курсове	включват	образование	10		ABC	3	включват
въпрос <nsubj засяга >obj организации	въпрос	засяга	организации	10		ABC	3	засяга
Екипът <nsubj носи >obj отговорност	Екипът	носи	отговорност	10		ABC	3	носи
президентът <nsubj прави >obj консултации	президентът	прави	консултации	10		ABC	3	прави
българите <nsubj имаха >obj възможност	българите	имаха	възможност	10		ABC	3	имаха
директорът <nsubj уведомил >obj лицето	директорът	уведомил	лицето	10		ABC	3	уведомил
посетителите <nsubj имат >obj възможност	посетителите	имат	възможност	10		ABC	3	имат
министър <nsubj иска >obj съдействие	министър	иска	съдействие	10		ABC	3	иска
министър <nsubj изпратила >obj писмо	министър	изпратила	писмо	10		ABC	3	изпратила
съдът <nsubj взе >obj мярка	съдът	взе	мярка	10		ABC	3	взе
националистите <nsubj допуснат >obj компромиси	националистите	допуснат	компромиси	9		ABC	3	допуснат
вратар <nsubj записал >obj мрежи	вратар	записал	мрежи	9		ABC	3	записал
Цената <nsubj заемат >obj %	Цената	заемат	%	9		ABC	3	заемат
млн. <obj използват >nsubj оранжерии	млн.	използват	оранжерии	9		ABC	3	използват
партии <nsubj намерят >obj език	партии	намерят	език	8		ABC	3	намерят
лекар <nsubj разказаха >obj спомени	лекар	разказаха	спомени	8		ABC	3	разказаха
кандидат <nsubj получава >obj подкрепа	кандидат	получава	подкрепа	8		ABC	3	получава
Пожар <nsubj става >obj повод	Пожар	става	повод	8		ABC	3	става
двойката <nsubj запазила >obj част	двойката	запазила	част	8		ABC	3	запазила
лицата <nsubj изпълняват >obj критериите	лицата	изпълняват	критериите	8		ABC	3	изпълняват
пенсия <nsubj стане >obj лв.	пенсия	стане	лв.	8		ABC	3	стане
общинари <nsubj определят >obj бъдещето	общинари	определят	бъдещето	8		ABC	3	определят
Заявлението <nsubj подкрепя >obj намаляването	Заявлението	подкрепя	намаляването	8		ABC	3	подкрепя
Звездата <nsubj използва >obj услугите	Звездата	използва	услугите	8		ABC	3	използва
Парламентът <nsubj отваря >obj врати	Парламентът	отваря	врати	8		ABC	3	отваря
законът <nsubj преобразува >obj закони	законът	преобразува	закони	8		ABC	3	преобразува
правителство <nsubj има >obj възможност	правителство	има	възможност	8		ABC	3	има
справка <nsubj определя >obj април	справка	определя	април	8		ABC	3	определя
Законът <nsubj обхваща >obj въпроси	Законът	обхваща	въпроси	8		ABC	3	обхваща
Законът <nsubj отмени >obj Закон	Законът	отмени	Закон	8		ABC	3	отмени
Заявлението <nsubj отразява >obj средства	Заявлението	отразява	средства	8		ABC	3	отразява
проект <obj спечели >nsubj сдружение	проект	спечели	сдружение	8		ABC	3	спечели
партия <nsubj покаже >obj идентичност	партия	покаже	идентичност	8		ABC	3	покаже
