Tree	Transformed_Tree	One	Two	Three	Pattern	Corpus
plavut <nsubj ima >obj plavutnic	['plavut <nsubj', 'ima', '>obj plavutnic']	S	V	O	SVO	SSJ
Kaj <obj to <nsubj pomeni	['Kaj <obj', 'to <nsubj', 'pomeni']	O	S	V	OSV	SSJ
POGODBO <obj ODPOVEDUJE >nsubj DELAVEC	['POGODBO <obj', 'ODPOVEDUJE', '>nsubj DELAVEC']	O	V	S	OVS	SSJ
PRAVICE <obj IZVRŠUJE >nsubj PREDSTOJNIK	['PRAVICE <obj', 'IZVRŠUJE', '>nsubj PREDSTOJNIK']	O	V	S	OVS	SSJ
bitna <nsubj omogoča >obj barv	['bitna <nsubj', 'omogoča', '>obj barv']	S	V	O	SVO	SSJ
bitna <nsubj omogoča >obj prikaz	['bitna <nsubj', 'omogoča', '>obj prikaz']	S	V	O	SVO	SSJ
jih <obj države <nsubj poslale	['jih <obj', 'države <nsubj', 'poslale']	O	S	V	OSV	SSJ
kaj <obj to <nsubj pomeni	['kaj <obj', 'to <nsubj', 'pomeni']	O	S	V	OSV	SSJ
kar <nsubj mi <obj zdi	['kar <nsubj', 'mi <obj', 'zdi']	S	O	V	SOV	SSJ
mu <obj to <nsubj uspelo	['mu <obj', 'to <nsubj', 'uspelo']	O	S	V	OSV	SSJ
otroci <nsubj samozaznave <obj primerjajo	['otroci <nsubj', 'samozaznave <obj', 'primerjajo']	S	O	V	SOV	SSJ
zmagovalec <nsubj dobil >obj točk	['zmagovalec <nsubj', 'dobil', '>obj točk']	S	V	O	SVO	SSJ
% <nsubj dobi >obj tolarjev	['% <nsubj', 'dobi', '>obj tolarjev']	S	V	O	SVO	SSJ
% <nsubj stori >obj samomor	['% <nsubj', 'stori', '>obj samomor']	S	V	O	SVO	SSJ
% <nsubj zavrnilo >obj predlog	['% <nsubj', 'zavrnilo', '>obj predlog']	S	V	O	SVO	SSJ
% <obj povzroči >nsubj zastrupitev	['% <obj', 'povzroči', '>nsubj zastrupitev']	O	V	S	OVS	SSJ
AST <nsubj ponuja >obj Bravo	['AST <nsubj', 'ponuja', '>obj Bravo']	S	V	O	SVO	SSJ
Aaron <nsubj povezala >obj naravnanost	['Aaron <nsubj', 'povezala', '>obj naravnanost']	S	V	O	SVO	SSJ
Adam <nsubj pogledal >obj doktorja	['Adam <nsubj', 'pogledal', '>obj doktorja']	S	V	O	SVO	SSJ
Adaptec <nsubj prilaga >obj program	['Adaptec <nsubj', 'prilaga', '>obj program']	S	V	O	SVO	SSJ
Ademar <nsubj dosegel >obj zadetka	['Ademar <nsubj', 'dosegel', '>obj zadetka']	S	V	O	SVO	SSJ
Adrenalin <nsubj zniža >obj silovitost	['Adrenalin <nsubj', 'zniža', '>obj silovitost']	S	V	O	SVO	SSJ
Adria <nsubj plačevala >obj polete	['Adria <nsubj', 'plačevala', '>obj polete']	S	V	O	SVO	SSJ
Aerts <nsubj sledil >obj napadu	['Aerts <nsubj', 'sledil', '>obj napadu']	S	V	O	SVO	SSJ
Alex <nsubj ustrelil >obj Willa	['Alex <nsubj', 'ustrelil', '>obj Willa']	S	V	O	SVO	SSJ
Ali <nsubj kuhala >obj fiks	['Ali <nsubj', 'kuhala', '>obj fiks']	S	V	O	SVO	SSJ
Ali <nsubj pogledala >obj čarodejko	['Ali <nsubj', 'pogledala', '>obj čarodejko']	S	V	O	SVO	SSJ
Ali <nsubj slišala >obj Keza	['Ali <nsubj', 'slišala', '>obj Keza']	S	V	O	SVO	SSJ
