Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
band <nsubj played >obj concerts	band	played	concerts	4	19.8	ABC	3	played
games <nsubj have >obj values	games	have	values	4	19.8	ABC	3	have
group <nsubj published >obj video	group	published	video	4	19.8	ABC	3	published
performance <nsubj brought >obj ranking	performance	brought	ranking	4	19.8	ABC	3	brought
performance <nsubj improved >obj ranking	performance	improved	ranking	4	19.8	ABC	3	improved
player <nsubj won >obj cap	player	won	cap	4	19.8	ABC	3	won
players <nsubj received >obj title	players	received	title	4	19.8	ABC	3	received
programs <nsubj require >obj experience	programs	require	experience	4	19.8	ABC	3	require
37L <nsubj weighs >obj tonnes	37L	weighs	tonnes	2	9.9	ABC	3	weighs
Addition <nsubj shifts >obj range	Addition	shifts	range	2	9.9	ABC	3	shifts
Analysis <nsubj overestimates >obj income	Analysis	overestimates	income	2	9.9	ABC	3	overestimates
BCCs <nsubj had >obj Ls	BCCs	had	Ls	2	9.9	ABC	3	had
Bill <nsubj give >obj power	Bill	give	power	2	9.9	ABC	3	give
Boom <nsubj Caused >obj Crisis	Boom	Caused	Crisis	2	9.9	ABC	3	Caused
Buses <nsubj connect >obj village	Buses	connect	village	2	9.9	ABC	3	connect
Commentators <nsubj praised >obj composure	Commentators	praised	composure	2	9.9	ABC	3	praised
Confectioners <nsubj sold >obj cream	Confectioners	sold	cream	2	9.9	ABC	3	sold
Contestants <nsubj achieved >obj success	Contestants	achieved	success	2	9.9	ABC	3	achieved
Council <nsubj enforcing >obj oath	Council	enforcing	oath	2	9.9	ABC	3	enforcing
Developers <nsubj cited >obj costs	Developers	cited	costs	2	9.9	ABC	3	cited
Dondurma <nsubj includes >obj milk	Dondurma	includes	milk	2	9.9	ABC	3	includes
Examples <nsubj include >obj masamgīti	Examples	include	masamgīti	2	9.9	ABC	3	include
Gelato <nsubj contains >obj fat	Gelato	contains	fat	2	9.9	ABC	3	contains
Government <nsubj increased >obj sentences	Government	increased	sentences	2	9.9	ABC	3	increased
Horses <nsubj Climbed >obj Trees	Horses	Climbed	Trees	2	9.9	ABC	3	Climbed
Information <nsubj provides >obj insight	Information	provides	insight	2	9.9	ABC	3	provides
Journalists <nsubj told >obj officials	Journalists	told	officials	2	9.9	ABC	3	told
Key <nsubj keeping >obj core	Key	keeping	core	2	9.9	ABC	3	keeping
Lactose <nsubj cause >obj depression	Lactose	cause	depression	2	9.9	ABC	3	cause
Leaders <nsubj discussed >obj cooperation	Leaders	discussed	cooperation	2	9.9	ABC	3	discussed
MRI <nsubj revealed >obj infarction	MRI	revealed	infarction	2	9.9	ABC	3	revealed
MRI <nsubj showed >obj abnormalities	MRI	showed	abnormalities	2	9.9	ABC	3	showed
People <nsubj lost >obj rights	People	lost	rights	2	9.9	ABC	3	lost
People <nsubj sell >obj cream	People	sell	cream	2	9.9	ABC	3	sell
Players <nsubj achieve >obj level	Players	achieve	level	2	9.9	ABC	3	achieve
Prosopometamorphopsia <nsubj involve >obj perceptions	Prosopometamorphopsia	involve	perceptions	2	9.9	ABC	3	involve
Recipes <nsubj saw >obj publication	Recipes	saw	publication	2	9.9	ABC	3	saw
Reviewers <nsubj emphasized >obj resemblance	Reviewers	emphasized	resemblance	2	9.9	ABC	3	emphasized
School <nsubj offers >obj degree	School	offers	degree	2	9.9	ABC	3	offers
Shops <nsubj include >obj couple	Shops	include	couple	2	9.9	ABC	3	include
Society <nsubj presents >obj Medals	Society	presents	Medals	2	9.9	ABC	3	presents
Talismans <nsubj made >obj mantras	Talismans	made	mantras	2	9.9	ABC	3	made
U <nsubj contains >obj intersection	U	contains	intersection	2	9.9	ABC	3	contains
Version <nsubj retained >obj checks	Version	retained	checks	2	9.9	ABC	3	retained
Water <nsubj have >obj proportions	Water	have	proportions	2	9.9	ABC	3	have
