Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
резервати <nsubj запазят >obj статут	резервати	запазят	статут	2	50.6	ABC	3	запазят
чай <nsubj има >obj множество	чай	има	множество	2	50.6	ABC	3	има
Брекзитът <nsubj засегне >obj движение	Брекзитът	засегне	движение	1	25.3	ABC	3	засегне
Водачите <nsubj отхвърлят >obj обвинения	Водачите	отхвърлят	обвинения	1	25.3	ABC	3	отхвърлят
Водолеите <nsubj имат >obj проблеми	Водолеите	имат	проблеми	1	25.3	ABC	3	имат
Г-н <nsubj отчита >obj значимостта	Г-н	отчита	значимостта	1	25.3	ABC	3	отчита
Г-н <nsubj произнесе >obj благодарност	Г-н	произнесе	благодарност	1	25.3	ABC	3	произнесе
Данните <nsubj сочат >obj тенденция	Данните	сочат	тенденция	1	25.3	ABC	3	сочат
Девите <nsubj имат >obj проблеми	Девите	имат	проблеми	1	25.3	ABC	3	имат
Джинджифилът <nsubj има >obj множество	Джинджифилът	има	множество	1	25.3	ABC	3	има
Екип <nsubj започнаха >obj работа	Екип	започнаха	работа	1	25.3	ABC	3	започнаха
Инсталацията <nsubj предоставя >obj места	Инсталацията	предоставя	места	1	25.3	ABC	3	предоставя
Каналът <nsubj има >obj Ден	Каналът	има	Ден	1	25.3	ABC	3	има
Картофите <nsubj имат >obj витамин	Картофите	имат	витамин	1	25.3	ABC	3	имат
Картофите <nsubj предоставят >obj минерали	Картофите	предоставят	минерали	1	25.3	ABC	3	предоставят
Катедрата <nsubj има >obj значение	Катедрата	има	значение	1	25.3	ABC	3	има
Климатът <nsubj направят >obj изживяване	Климатът	направят	изживяване	1	25.3	ABC	3	направят
Климатът <nsubj направят >obj посещението	Климатът	направят	посещението	1	25.3	ABC	3	направят
Коалицията <nsubj постигнала >obj съгласие	Коалицията	постигнала	съгласие	1	25.3	ABC	3	постигнала
Козирозите <nsubj имат >obj проблеми	Козирозите	имат	проблеми	1	25.3	ABC	3	имат
Концепцията <nsubj включва >obj стъпки	Концепцията	включва	стъпки	1	25.3	ABC	3	включва
Къщите <nsubj имат >obj предимство	Къщите	имат	предимство	1	25.3	ABC	3	имат
Лидерът <nsubj поиска >obj вот	Лидерът	поиска	вот	1	25.3	ABC	3	поиска
Майсторите <nsubj създавали >obj икони	Майсторите	създавали	икони	1	25.3	ABC	3	създавали
Медии <nsubj започват >obj търсенето	Медии	започват	търсенето	1	25.3	ABC	3	започват
Медиите <nsubj изразиха >obj загриженост	Медиите	изразиха	загриженост	1	25.3	ABC	3	изразиха
Мнозинството <nsubj давало >obj подкрепа	Мнозинството	давало	подкрепа	1	25.3	ABC	3	давало
Напускането <nsubj засегне >obj редица	Напускането	засегне	редица	1	25.3	ABC	3	засегне
Новинарите <nsubj съобщават >obj новините	Новинарите	съобщават	новините	1	25.3	ABC	3	съобщават
Новината <nsubj вкарва >obj затруднения	Новината	вкарва	затруднения	1	25.3	ABC	3	вкарва
Организаторите <nsubj отдават >obj значение	Организаторите	отдават	значение	1	25.3	ABC	3	отдават
Оттеглянето <nsubj има >obj въздействие	Оттеглянето	има	въздействие	1	25.3	ABC	3	има
Партиите <nsubj имат >obj принципи	Партиите	имат	принципи	1	25.3	ABC	3	имат
Планът <nsubj включва >obj области	Планът	включва	области	1	25.3	ABC	3	включва
Повишението <nsubj предизвика >obj реакции	Повишението	предизвика	реакции	1	25.3	ABC	3	предизвика
Посланик <nsubj изрази >obj желание	Посланик	изрази	желание	1	25.3	ABC	3	изрази
Появата <nsubj създаде >obj възможности	Появата	създаде	възможности	1	25.3	ABC	3	създаде
Приложение <nsubj разкрие >obj стойността	Приложение	разкрие	стойността	1	25.3	ABC	3	разкрие
Проблеми <nsubj заливат >obj зодии	Проблеми	заливат	зодии	1	25.3	ABC	3	заливат
Проблемът <nsubj засяга >obj смартфоните	Проблемът	засяга	смартфоните	1	25.3	ABC	3	засяга
Програмата <nsubj има >obj цел	Програмата	има	цел	1	25.3	ABC	3	има
Програмата <nsubj предлага >obj консултация	Програмата	предлага	консултация	1	25.3	ABC	3	предлага
Прокуратурата <nsubj вдигна >obj мерника	Прокуратурата	вдигна	мерника	1	25.3	ABC	3	вдигна
Прокуратурата <nsubj има >obj роля	Прокуратурата	има	роля	1	25.3	ABC	3	има
Професорът <nsubj започна >obj кръг	Професорът	започна	кръг	1	25.3	ABC	3	започна
Професорът <nsubj има >obj правота	Професорът	има	правота	1	25.3	ABC	3	има
Процесът <nsubj има >obj серия	Процесът	има	серия	1	25.3	ABC	3	има
Работата <nsubj преобразува >obj отпадъците	Работата	преобразува	отпадъците	1	25.3	ABC	3	преобразува
Растението <nsubj съдържа >obj съединения	Растението	съдържа	съединения	1	25.3	ABC	3	съдържа
Раците <nsubj имат >obj трудности	Раците	имат	трудности	1	25.3	ABC	3	имат
Рецептата <nsubj съдържа >obj съставки	Рецептата	съдържа	съставки	1	25.3	ABC	3	съдържа
Рибите <nsubj имат >obj проблеми	Рибите	имат	проблеми	1	25.3	ABC	3	имат
Рутерът <nsubj има >obj функции	Рутерът	има	функции	1	25.3	ABC	3	има
Сделката <nsubj включва >obj решения	Сделката	включва	решения	1	25.3	ABC	3	включва
Системата <nsubj съдържа >obj информация	Системата	съдържа	информация	1	25.3	ABC	3	съдържа
Скорпионите <nsubj имат >obj проблеми	Скорпионите	имат	проблеми	1	25.3	ABC	3	имат
Снимката <nsubj придоби >obj популярност	Снимката	придоби	популярност	1	25.3	ABC	3	придоби
Снимките <nsubj заразиха >obj мрежи	Снимките	заразиха	мрежи	1	25.3	ABC	3	заразиха
Срещата <nsubj демонстрира >obj необходимостта	Срещата	демонстрира	необходимостта	1	25.3	ABC	3	демонстрира
Стартът <nsubj привлякъл >obj вниманието	Стартът	привлякъл	вниманието	1	25.3	ABC	3	привлякъл
Стените <nsubj понижават >obj качеството	Стените	понижават	качеството	1	25.3	ABC	3	понижават
Стрелците <nsubj имат >obj проблеми	Стрелците	имат	проблеми	1	25.3	ABC	3	имат
Съдът <nsubj издаде >obj предупреждение	Съдът	издаде	предупреждение	1	25.3	ABC	3	издаде
Създаването <nsubj представлява >obj стъпка	Създаването	представлява	стъпка	1	25.3	ABC	3	представлява
Телците <nsubj имат >obj проблеми	Телците	имат	проблеми	1	25.3	ABC	3	имат
Тимът <nsubj има >obj проблеми	Тимът	има	проблеми	1	25.3	ABC	3	има
Туристите <nsubj уведомят >obj работниците	Туристите	уведомят	работниците	1	25.3	ABC	3	уведомят
Удължаването <nsubj предлага >obj шанс	Удължаването	предлага	шанс	1	25.3	ABC	3	предлага
Фондът <nsubj има >obj отговорност	Фондът	има	отговорност	1	25.3	ABC	3	има
Фондът <nsubj претърпял >obj щети	Фондът	претърпял	щети	1	25.3	ABC	3	претърпял
Фондът <nsubj събрал >obj милиони	Фондът	събрал	милиони	1	25.3	ABC	3	събрал
Фотографите <nsubj зарадват >obj почитатели	Фотографите	зарадват	почитатели	1	25.3	ABC	3	зарадват
Шеф <nsubj изгуби >obj милиарди	Шеф	изгуби	милиарди	1	25.3	ABC	3	изгуби
Шоуто <nsubj предлага >obj възможност	Шоуто	предлага	възможност	1	25.3	ABC	3	предлага
актьори <nsubj имат >obj възможност	актьори	имат	възможност	1	25.3	ABC	3	имат
актьорът <nsubj представя >obj ред	актьорът	представя	ред	1	25.3	ABC	3	представя
анализ <nsubj включва >obj изследване	анализ	включва	изследване	1	25.3	ABC	3	включва
аспекти <nsubj подчертават >obj важността	аспекти	подчертават	важността	1	25.3	ABC	3	подчертават
бабата <nsubj получи >obj бъбрек	бабата	получи	бъбрек	1	25.3	ABC	3	получи
брекзит <nsubj повлияе >obj живота	брекзит	повлияе	живота	1	25.3	ABC	3	повлияе
бури <nsubj причиниха >obj повреди	бури	причиниха	повреди	1	25.3	ABC	3	причиниха
вдигнаха >obj глава >nsubj партии	вдигнаха	глава	партии	1	25.3	ABC	3	вдигнаха
вицепремиера <nsubj обсъди >obj прогнозите	вицепремиера	обсъди	прогнозите	1	25.3	ABC	3	обсъди
власти <nsubj вземат >obj решение	власти	вземат	решение	1	25.3	ABC	3	вземат
власти <nsubj искат >obj достъп	власти	искат	достъп	1	25.3	ABC	3	искат
власти <nsubj предприели >obj мерки	власти	предприели	мерки	1	25.3	ABC	3	предприели
възможност <nsubj предостави >obj възможността	възможност	предостави	възможността	1	25.3	ABC	3	предостави
горива <nsubj замърсяват >obj среда	горива	замърсяват	среда	1	25.3	ABC	3	замърсяват
гостите <nsubj имаха >obj възможност	гостите	имаха	възможност	1	25.3	ABC	3	имаха
грама <nsubj съдържат >obj грама	грама	съдържат	грама	1	25.3	ABC	3	съдържат
дама <nsubj получи >obj цветя	дама	получи	цветя	1	25.3	ABC	3	получи
дама <nsubj преживяла >obj трагедия	дама	преживяла	трагедия	1	25.3	ABC	3	преживяла
данни <nsubj показват >obj растеж	данни	показват	растеж	1	25.3	ABC	3	показват
дворец <nsubj обяви >obj пропускане	дворец	обяви	пропускане	1	25.3	ABC	3	обяви
дейности <nsubj включват >obj лов	дейности	включват	лов	1	25.3	ABC	3	включват
депутати <nsubj оказват >obj въздействие	депутати	оказват	въздействие	1	25.3	ABC	3	оказват
дете <nsubj играе >obj игра	дете	играе	игра	1	25.3	ABC	3	играе
деца <nsubj използват >obj телефони	деца	използват	телефони	1	25.3	ABC	3	използват
