Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
человек <nsubj получили >obj ранения	человек	получили	ранения	8	9.4	ABC	3	получили
суд <nsubj вынес >obj решение	суд	вынес	решение	6	7.1	ABC	3	вынес
суд <nsubj вынес >obj приговор	суд	вынес	приговор	4	4.7	ABC	3	вынес
текст <nsubj дает >obj представление	текст	дает	представление	4	4.7	ABC	3	дает
текст <nsubj описывает >obj день	текст	описывает	день	4	4.7	ABC	3	описывает
Президент <nsubj принял >obj решение	Президент	принял	решение	3	3.5	ABC	3	принял
Суд <nsubj вынес >obj решение	Суд	вынес	решение	3	3.5	ABC	3	вынес
Ученые <nsubj опубликовали >obj статью	Ученые	опубликовали	статью	3	3.5	ABC	3	опубликовали
автор <nsubj описывает >obj впечатления	автор	описывает	впечатления	3	3.5	ABC	3	описывает
автор <nsubj описывает >obj день	автор	описывает	день	3	3.5	ABC	3	описывает
власти <nsubj приняли >obj решение	власти	приняли	решение	3	3.5	ABC	3	приняли
исследования <nsubj имеют >obj значение	исследования	имеют	значение	3	3.5	ABC	3	имеют
команда <nsubj заняла >obj место	команда	заняла	место	3	3.5	ABC	3	заняла
комитет <nsubj возбудил >obj дело	комитет	возбудил	дело	3	3.5	ABC	3	возбудил
органы <nsubj продолжают >obj расследование	органы	продолжают	расследование	3	3.5	ABC	3	продолжают
отряд <nsubj включал >obj полки	отряд	включал	полки	3	3.5	ABC	3	включал
проект <nsubj имеет >obj значение	проект	имеет	значение	3	3.5	ABC	3	имеет
прокуратура <nsubj начала >obj проверку	прокуратура	начала	проверку	3	3.5	ABC	3	начала
решение <nsubj вызвало >obj негодование	решение	вызвало	негодование	3	3.5	ABC	3	вызвало
руководство <nsubj приняло >obj решение	руководство	приняло	решение	3	3.5	ABC	3	приняло
текст <nsubj описывает >obj ночь	текст	описывает	ночь	3	3.5	ABC	3	описывает
Вечер <obj автор <nsubj провел	Вечер	автор	провел	2	2.4	ABC	3	провел
Глава <nsubj высказал >obj мнение	Глава	высказал	мнение	2	2.4	ABC	3	высказал
Глава <nsubj высказал >obj опасения	Глава	высказал	опасения	2	2.4	ABC	3	высказал
Защита <nsubj подала >obj жалобу	Защита	подала	жалобу	2	2.4	ABC	3	подала
Министерство <nsubj призывает >obj лиц	Министерство	призывает	лиц	2	2.4	ABC	3	призывает
Министерство <nsubj приняло >obj решение	Министерство	приняло	решение	2	2.4	ABC	3	приняло
Молитвы <nsubj имеют >obj силу	Молитвы	имеют	силу	2	2.4	ABC	3	имеют
Ответственность <obj взяла >nsubj организация	Ответственность	взяла	организация	2	2.4	ABC	3	взяла
Отдел <nsubj играет >obj роль	Отдел	играет	роль	2	2.4	ABC	3	играет
Отдел <nsubj принимает >obj участие	Отдел	принимает	участие	2	2.4	ABC	3	принимает
Правительство <nsubj приняло >obj постановление	Правительство	приняло	постановление	2	2.4	ABC	3	приняло
Совет <nsubj принял >obj решение	Совет	принял	решение	2	2.4	ABC	3	принял
Суд <nsubj вынес >obj приговор	Суд	вынес	приговор	2	2.4	ABC	3	вынес
Суд <nsubj принял >obj решение	Суд	принял	решение	2	2.4	ABC	3	принял
автоконцерн <nsubj запустил >obj кампанию	автоконцерн	запустил	кампанию	2	2.4	ABC	3	запустил
автор <nsubj выражает >obj тревогу	автор	выражает	тревогу	2	2.4	ABC	3	выражает
автор <nsubj описывает >obj жизнь	автор	описывает	жизнь	2	2.4	ABC	3	описывает
власти <nsubj начали >obj операцию	власти	начали	операцию	2	2.4	ABC	3	начали
герой <nsubj наполнил >obj кубки	герой	наполнил	кубки	2	2.4	ABC	3	наполнил
глава <nsubj выразил >obj надежду	глава	выразил	надежду	2	2.4	ABC	3	выразил
задача <nsubj включает >obj подготовку	задача	включает	подготовку	2	2.4	ABC	3	включает
изобретение <nsubj оказало >obj влияние	изобретение	оказало	влияние	2	2.4	ABC	3	оказало
инвалиды <nsubj получили >obj возможность	инвалиды	получили	возможность	2	2.4	ABC	3	получили
исполнитель <nsubj направляет >obj отчеты	исполнитель	направляет	отчеты	2	2.4	ABC	3	направляет
исполнитель <nsubj проводит >obj оценку	исполнитель	проводит	оценку	2	2.4	ABC	3	проводит
киностудии <nsubj предъявили >obj иск	киностудии	предъявили	иск	2	2.4	ABC	3	предъявили
кокаин <nsubj вызывает >obj зависимость	кокаин	вызывает	зависимость	2	2.4	ABC	3	вызывает
команда <nsubj одержала >obj победу	команда	одержала	победу	2	2.4	ABC	3	одержала
комиссия <nsubj играет >obj роль	комиссия	играет	роль	2	2.4	ABC	3	играет
комитет <nsubj приостановил >obj членство	комитет	приостановил	членство	2	2.4	ABC	3	приостановил
компания <nsubj опубликовала >obj рейтинг	компания	опубликовала	рейтинг	2	2.4	ABC	3	опубликовала
контакты <nsubj создают >obj основу	контакты	создают	основу	2	2.4	ABC	3	создают
люди <nsubj находят >obj способы	люди	находят	способы	2	2.4	ABC	3	находят
место <obj заняла >nsubj квартира	место	заняла	квартира	2	2.4	ABC	3	заняла
министр <nsubj выразил >obj озабоченность	министр	выразил	озабоченность	2	2.4	ABC	3	выразил
министр <nsubj высказал >obj мнение	министр	высказал	мнение	2	2.4	ABC	3	высказал
начальник <nsubj опроверг >obj информацию	начальник	опроверг	информацию	2	2.4	ABC	3	опроверг
новость <nsubj вызвала >obj реакцию	новость	вызвала	реакцию	2	2.4	ABC	3	вызвала
новость <obj сообщило >nsubj агентство	новость	сообщило	агентство	2	2.4	ABC	3	сообщило
ополченцы <nsubj продолжают >obj действия	ополченцы	продолжают	действия	2	2.4	ABC	3	продолжают
организации <nsubj играют >obj роль	организации	играют	роль	2	2.4	ABC	3	играют
