Word Order,Frequency_SSJ,Example_Sentence_SSJ,Frequency_SST,Example_Sentence_SST
O,81.0,"drugačna , kot sem je bil vajen ,",55.0,bivališča nekje jih
OO,1.0,"Samo meni so dolžni plačo za dva meseca , poleg tega tudi",5.0,saj se mi ne zdaj so mi
OOOSV,0.0,0,1.0,pa je Števanovce v krčmi mojemu očetu tja pravil ka v kakšno navoljo je pa ga je moj oče skril
OOOV,0.0,0,1.0,in v bistvu ti poz- te v- te vprašam [name:personal] [name:surname] si sploh še
OOSV,2.0,"» Ai Xue , mu ga lahko ti narišeš ?",0.0,0
OOSVO,1.0,"Jasno Hribernik so nam sodelavci opisali kot deloholičarko in nežno dušo hkrati , Maria Galuniča pa",0.0,0
OOSVSVS,0.0,0,1.0,ja zdaj ena od pomembnih novosti ki smo jih eee ki jih je v bistvu Republika Slovenija uzakonila je to e da morajo biti vsi otroci pred vključitvijo v e kolektivno varstvo v vrtce obvezno precepljeni proti ošpicam mumpsu in rdečkam
OOSVVOOV,1.0,"vprašanje , ki si ga posameznik zastavlja , ko reflektira svoj napredek , pa je : » Kako to vem ? «",0.0,0
OOSVVOVO,1.0,"Krivdo za paniko , ki jo je pojav neozdravljive pljučnice sprožil na kitajskem jugu , pa pripisujejo množični uporabi sporočil SMS med Kitajci , ki imajo približno 300 milijonov mobilnih telefonov .",0.0,0
OOSVVV,0.0,0,1.0,ne ne saj to ti mi samo zavidamo veš da ne boš mislil da je res kaj
OOV,18.0,"Danes nam to našo strategijo priznajo , je",10.0,[name:personal] so ga dali
OOVO,1.0,"To ti bodo zagotovo sešili v šivalnici , mar ne ? « jo je",1.0,pol pa kablov mi je zmanjkalo sem še nekaj
OOVOV,1.0,"In mu jo je izpolnil , čeprav tako , da ga je napeljal k zločinu .",1.0,jaz ali pa eden mojih bratov da je mlekarju mleko dal pa zajtrk je prištimal
OOVOVO,1.0,"Tega jim tudi ne zamerim , saj so nas pač kupili v nekem svežnju , sčasoma pa smo jim",1.0,ma ga boš lahko ji posodila ali ga boš rabila ga
OOVOVOVOVOOV,1.0,"Ko boste njemu nekaj predlagali ali ko boste njo izzvali , naj vam pove svoje stališče , boste najbrž slišali nekaj povsem drugega od tistega , kar ste pričakovali .",0.0,0
OOVOVSO,0.0,0,1.0,osnovne življenjske potrebe pa si zagotavljajo s pomočjo socialnih transferjev ki jih daje država pravzaprav vsem ljudem ne samo njim
OOVOVSV,0.0,0,1.0,tako eee to bi kaj pa vem bi kar ene štiri vzel no ker zdaj se to vse obrne
OOVOVVO,0.0,0,1.0,ekonomski kapital kot tak eee ti najlažje razložim kot kapital ki ga v sami osnovi že poznaš torej eee da dobiš neko finančno vrednost ne
OOVS,9.0,""" Na podlagi tega , kar mi pove tržišče .",4.0,eno so eno bojo verjetno poslali domov no tudi to je
OOVSO,0.0,0,1.0,tudi če bi si jo poiskali pa bi bila zaradi izterjanih izvršb plača v tem primeru zagotovo manjša od socialnih transferjev česar se
OOVSS,2.0,"Gospodarski kolobociji pa piskrčke pristavljajo politiki in vojska z južnega dela azijske celine z jedrskimi poskusi , tako da je destabilizacijska slika celotne regije začrtana .",1.0,ne razpolaganju s premoženjem pravijo Koper Ljubljana banke upnice
OOVSSVOS,1.0,"Na namige , da Kopaču podporo odrekajo tudi nekateri poslanci liberalne demokracije , med drugim vodja poslanske skupine Tone Anderlič , minister pravi , da mu to ni znano .",0.0,0
OOVSV,2.0,"Tako nizke gladine , kot jo ima Kolpa letos , še nikoli nisem videl .",0.0,0
OOVSVO,2.0,"Prav to , » tiho « spremembo namembnosti begunskega centra v prehodni dom za tujce , kot so jo v Hrastniku takrat poimenovali , so Hrastničani , še posebno pa njihova SNS , najbolj zamerili pristojnim na državi .",0.0,0
OOVSVOVV,1.0,"Kaj mu hoče bog povedati s tem , da ga , kot danes rečemo , ne jebe ?",0.0,0
OOVSVS,1.0,"dediščina , ki so jo mladim zapustili njihovi pradedje in se ohranja že 130 let : to so kasaške",0.0,0
OOVSVVO,1.0,"Njeno zgodbo mu je povedala madame Bertin , stara čarovnica , ki je kljub vojni znala čez Kanal pretihotapiti obleke po najnovejši modi .",0.0,0
OOVSVVVO,1.0,"Poročilo za leto 1999 , ki ga je oblikoval Studio Marketing JWT , so začeli pripravljati že leta 1997 , ko so z zunanjo agencijo postavili vsebinski in likovni koncept letnih poročil za naslednje štiri leta .",0.0,0
OOVSVVVOVS,1.0,"Če skalo , ki jo je z glasom premaknil Ali Baba , opazujemo od daleč , nikakor ne moremo vedeti , ali jo je premaknila čarovnija ali vgrajeni mehanizem s sposobnostjo prepoznave govora .",0.0,0
OOVV,8.0,Tudi čevljev si ne boste znali kupiti več brez pomoči .,1.0,a to meni prepustite da razdelam pa pol
OOVVOV,2.0,"DOMOVANJE SI JE IZBRALA NA SAMEM IN SE DRUŽILA LE Z ROBATIMI RUDARJI V BLIŽNJEM NASELJU , KI SO JO IMELI ZA MEHKUŽNEGA FANTA .",0.0,0
OOVVOVVOVO,1.0,"Dekonstruktivizmu , ki ga je treba kljub vsem pridržkom do takih pojmov pripisati Libeskindu , grozi , da bo dobil frivolen priokus , ko naj bi nadomestil poslopja , ki so bila na podobno nasilen način dekonstruirana kot » twin towers « .",0.0,0
OOVVS,2.0,"Če twingu initiale česa ne moremo oporekati , je to gotovo dejstvo , da je izdelan s prefinjenim okusom .",1.0,starši otrok z atopijskim dermatitisom tukaj kot nam sami pravijo prizadene tudi precej različna praksa pri pri odločanju eem za ta dodatek
OOVVSOV,0.0,0,1.0,namen ga imam pogledati ampak drugi del mi je tudi e najbolj všeč zaradi tega ker je to nekako najbolj smešno
OOVVSV,1.0,"Ker smo se » spanja « na delovnih mestih bolezni , ki nas je ( menda ) pestila skoraj petdeset let šele dobro ozdravili , je malo verjetno , da se bodo kavči , zofe in podobni kosi pohištva kmalu vrnili v naše pisarne .",0.0,0
OOVVSVVV,1.0,"Odločitev mu je pomagal sprejeti kar Černomirdin sam , ki je odstopil od kandidature , ker ne želi biti "" jabolko "" spora v kriznem obdobju , ki ta hip vlada v Rusiji .",0.0,0
OOVVV,2.0,"Vsakega zobatca , ki ga bomo ujeli in pojedli , se bomo spominjali vse življenje .",0.0,0
OOVVVSVVOV,0.0,0,1.0,brez drugega dramaturga tako da pozorni še posebej bodite na [name:personal] ker bo drugi del v d dramaturga v smislu da te stvari kar bomo eee poskušali v likih ustvarjati bomo t- skozi govor in bo [name:personal] mogla malo večkrat posr- pomagati na tej poti da to dejansko dobimo
OOVVVV,0.0,0,1.0,pa e tega res mi ne zamerite prosim ampak vedno znova se čaka da se bo vendarle krenilo tudi na tem področju varovanja otrokovih pravic
OOVVVVS,1.0,"Čeprav nam ga ni uspelo priklicati , smo izvedeli , zakaj je bil ob zadnjem snidenju s sedmo silo v četrtek , ko so se začele priprave Olimpije , tako zelo nezadovoljen .",0.0,0
OS,28.0,"Temu primerna je tudi notranjost kabine ,",8.0,očitno je kritikom našega dela ta misel tuja
OSO,2.0,"obtoženi kraje scenarija , kar jih lahko",1.0,in pol me je tistih ostalih sedemsto osemsto nekaj sem malega sem
OSOSVSVOSV,1.0,"Piran - Čeprav je vodstvu piranske občine jasno , da je problem beguncev , ki jih je slovenska oblast evakuirala iz obleganega Sarajeva , predvsem stvar države , se je ob zadnjih zapletih županja Vojka Štular odločila , da jim bo občina po svojih močeh pomagala .",0.0,0
OSOSVV,1.0,"Vsak dan ob štirih zjutraj jih razpadajoči vlak , ki ga je vlada leta 1937 rabljenega kupila od Nemcev , odpelje na delo v osemdeset kilometrov oddaljeni Rio .",0.0,0
OSOVO,1.0,"Znano pa je , da mu starši niso bili naklonjeni in so mu izkazovali zelo malo ljubezni .",0.0,0
OSOVS,1.0,"Umora je osumljen 18 - letni Rom , ki sta mu pri zločinu pomagala sorodnika , 16 - letnik in komaj 13 leta in pol star fant -",0.0,0
OSOVSV,1.0,"Verjetno ga delo v eksperimentalnem gledališču , kot smo si ga predstavljali mi , ni pretirano zanimalo .",0.0,0
OSOVVOO,1.0,"Še posebno , če si prvi mož opozicije to privošči ob tem , da niti z besedico ne omeni odgovornosti nadzornega odbora RTVS , ki ga",0.0,0
OSOVVOVS,1.0,"Morda se jim nič od tega , kar je povedal , ni zdelo tako zelo pomembno za prihodnost Kitajske , kakor so se jim zdele usodne Busheve besede , je pa pred njimi",0.0,0
OSOVVV,1.0,"Vse , kar se vam bo dogajalo , boste morali deliti z drugimi .",0.0,0
OSOVVVO,1.0,"Omembe vreden je še Litostroj E. I. , ki pa milijon evrov vredne pogodbe z Irakom o obnovi tamkajšnjih elektrarn zaradi vojne ni uspel realizirati do konca , potem ko je lani iz tega paketa že posodobil hidroelektrarno Haditha na reki Evfrat .",0.0,0
OSS,1.0,"Z Jezusovim žrtvovanjem na križu so bili ljudem grehi odpuščeni , vendar njihova grešna narava ni bila izkoreninjena .",1.0,polna preobratov pravzaprav eee e e tako da je sama zgodba je zelo dolga zelo težko človek na kratko e
OSSVOVO,1.0,"Na drugi strani pa muslimanom protektorat nad najsvetejšim krajem , kamor Judje nimajo vstopa , daje precej samozavesti .",0.0,0
OSSVS,1.0,"Vsem študijam je skupna ugotovitev , da se je izziv prihodnosti stopnjeval toliko , kolikor je bil lastni čas izkušan kot zmeraj novi čas , kot ‘ novi vek ’ .",0.0,0
OSV,58.0,"tisto … ? "" in spet mi je beseda za hip obstala v grlu , """,31.0,meni to tule ne bo prišlo kako
OSVO,11.0,"Najbrž vam je znano , da ilustracije ne uživajo posebnega ugleda znotraj drugih likovnih umetnosti .",4.0,pa pa so ga ljudje zajebavali evo pol vam je pa
OSVOOOV,1.0,"tisti , ki jim je država izpolnila pričakovanja , ampak tudi oni , ki ji marsikaj očitajo ; ne le",0.0,0
OSVOOSVVV,1.0,"podobno tistemu ob koncu 80. let , ko so sovjetski umetniki pripravljali performanse zaprtega tipa , ker jih je policija sicer že pustila pri miru , a javno še niso smeli nastopiti .",0.0,0
OSVOOV,1.0,"Za nekaj tisočakov si lahko vsakdo pridobi » vstopnico « za avanturo , ki jo je mogoče raztegniti tudi na ves teden .",0.0,0
OSVOOVVSVVOOV,1.0,"Na slednji očitek , ki so ga predstavniki ministrstva izrekli navzočim , in ko skupnih točk ob koncu vendarle niso mogli povzeti , so se predstavniki inštitucij seveda uprli , saj naj bi sami pogosto pisno ali ustno sporočali svoje ideje ministrstvu , kjer pa so se "" izgubile "" .",0.0,0
OSVOS,3.0,"dana ti bo milost , da storiš to , kar je potrebno .",3.0,mhm kaj pa vi pravite na to gos- ja k- kaj vi
OSVOSSV,0.0,0,1.0,če eee nam nemški avtomobilski proizvajalec zmanjša proizvodnjo za četrtino in če so na tega proizvajalca vezani naši proizvajalci potem eee nobeno zniževanje stroškov pravzaprav tukaj kaj dosti ne pomaga
OSVOSV,2.0,"Pozimi leta 1683 so mu učenci podarili še eno kočo v Edu , vendar se njegovo počutje ni izboljšalo .",1.0,večkrat mi ljudje rečejo da e so me očitno že starši zaznamovali ne
OSVOV,11.0,"Kmalu nam zajeten kup konzerv na snegu ob naših ležiščih govori , da se nam danes godi prav dobro .",0.0,0
OSVOVO,1.0,"Karkoli že bi ruski predsednik rekel študentom , bi tukaj doživelo uspeh .",0.0,0
OSVOVOOOSV,1.0,"Prepričana sem , da si je najin otrok izbral prav naju za starša , ker potrebuje za življenje ravno to , kar mu midva lahko nudiva , """,0.0,0
OSVOVOSVVSVO,1.0,"Če si glavna opozicijska skupina v parlamentu ne bo priskrbela dovolj glasov in postavila na oblast svojega kandidata , ne da bi Slovenci morali oditi na volišča pred jesenjo , potem je Janez Drnovšek odločen , da bo obnovil svojo oblast v Sloveniji .",0.0,0
OSVOVOV,2.0,"Na akademiji so nas profesorji , razen Vladimirja Kralja , ki je predaval dramaturgijo , silili , naj jih posnemamo tako pri režiji in igri , kakor tudi v starokopitnem načinu mišljenja .",0.0,0
OSVOVOVO,0.0,0,1.0,ta naselja so občine in države skozi desetletja večinoma tolerirale in jih niso urejale ter so to urejanje prepustile pravzaprav neformalno nekako neformalno posamezniku
OSVOVOVOOVOS,1.0,"Ko ga mati objame in mu zapoje pesmico ali pove kratko zgodbo , nevede otroku privzgaja občutek , da je to nekaj lepega .",0.0,0
OSVOVOVV,0.0,0,1.0,eee če mu je še mama mislim da Tamiflu zraven dala samo ga je doma pozabil razumeš
OSVOVS,3.0,"Če pa si partnerja določita vsak svoj "" revir "" , ponavadi ni težav .",0.0,0
OSVOVVO,1.0,"Če ti bodo starši dovolili , te vabim , da obiščeš našo državo , najbolje to",0.0,0
OSVOVVOOV,1.0,"Če ji ne bi otiščanci na mezincu noge povzročali nočne more pri nakupovanju čevljev , najbrž še zdaj ne bi vedela , da ima živčno - mišično bolezen , imenovano bolezen Charcot - Marie - Tooth , ki jo označujemo tudi s kratico CMT .",0.0,0
OSVOVVS,2.0,"Z navideznim umikom na avstrijsko Koroško si Haider odpira možnost , da lahko iz Celovca na Dunaj strelja iz opozicijskih topov celo proti vladi , v kateri sodeluje njegova stranka .",0.0,0
OSVS,7.0,"Obračuna in plačila DDV bi bile oproščene tudi finančne storitve ( bančne , zavarovalniške in poseben segment iger na srečo ) , saj je pri teh dejavnostih težko določiti , kaj je dodana vrednost .",3.0,in z to pa zdaj sploh to pa noben ne po polemizira zato ker tista Waldorfska šola je bila ustanovljena triindevetdesetega leta pred spremembo zofvi-ja in je financirana stoprocentno
OSVSO,0.0,0,1.0,nam je bila legenda serija veš to mi
OSVSOV,2.0,"Očitno ji je nekdo na drugi strani razložil , da je zavarovalnica predlog umaknila .",0.0,0
