Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
حکومت <nsubj کام <obj کرنا	حکومت	کام	کرنا	48	75.5	ABC	3	کرنا
حکومت <nsubj کمیشن <obj بنائی	حکومت	کمیشن	بنائی	36	56.6	ABC	3	بنائی
حکومت <nsubj اقدامات <obj اٹھائے	حکومت	اقدامات	اٹھائے	30	47.2	ABC	3	اٹھائے
فلم <nsubj جمعیت <obj کرتی	فلم	جمعیت	کرتی	30	47.2	ABC	3	کرتی
حکومت <nsubj روپے <obj کئے	حکومت	روپے	کئے	27	42.4	ABC	3	کئے
مہندسوں <nsubj حرکت <obj کی	مہندسوں	حرکت	کی	27	42.4	ABC	3	کی
حکومت <nsubj اقدامات <obj کی	حکومت	اقدامات	کی	26	40.9	ABC	3	کی
پولیس <nsubj تدابیر <obj اٹھائیں	پولیس	تدابیر	اٹھائیں	26	40.9	ABC	3	اٹھائیں
حکومت <nsubj تنظیموں <obj کرنی	حکومت	تنظیموں	کرنی	24	37.7	ABC	3	کرنی
مشورے <obj کھلاڑی <nsubj اٹھاتے	مشورے	کھلاڑی	اٹھاتے	24	37.7	ABC	3	اٹھاتے
بعض <nsubj پہچان <obj کی	بعض	پہچان	کی	23	36.2	ABC	3	کی
حکومت <nsubj سفیر <obj کیا	حکومت	سفیر	کیا	23	36.2	ABC	3	کیا
فینز <nsubj تقریبیں <obj منائیں	فینز	تقریبیں	منائیں	23	36.2	ABC	3	منائیں
برانڈز <nsubj ملبوسات <obj کئے	برانڈز	ملبوسات	کئے	22	34.6	ABC	3	کئے
کمپنی <nsubj مواقع <obj کرے	کمپنی	مواقع	کرے	22	34.6	ABC	3	کرے
بینک <nsubj ریکارڈ <obj کیا	بینک	ریکارڈ	کیا	21	33.0	ABC	3	کیا
لوگوں <nsubj دلچسپی <obj کی	لوگوں	دلچسپی	کی	21	33.0	ABC	3	کی
لوگوں <nsubj طریقے <obj کئے	لوگوں	طریقے	کئے	21	33.0	ABC	3	کئے
مصنفوں <nsubj شاعری <obj کیا	مصنفوں	شاعری	کیا	21	33.0	ABC	3	کیا
کرکٹرز <nsubj کھلاڑیوں <obj دی	کرکٹرز	کھلاڑیوں	دی	21	33.0	ABC	3	دی
آواز <obj لوگوں <nsubj کیا	آواز	لوگوں	کیا	20	31.4	ABC	3	کیا
لوگ <nsubj پوسٹ <obj دیکھ	لوگ	پوسٹ	دیکھ	20	31.4	ABC	3	دیکھ
کرکٹرز <nsubj خراج <obj دینا	کرکٹرز	خراج	دینا	20	31.4	ABC	3	دینا
کھلاڑیوں <nsubj بلےبازی <obj دیا	کھلاڑیوں	بلےبازی	دیا	20	31.4	ABC	3	دیا
تصاویر <nsubj فینز <obj کر	تصاویر	فینز	کر	19	29.9	ABC	3	کر
شائقین <nsubj تقریبات <obj منائیں	شائقین	تقریبات	منائیں	19	29.9	ABC	3	منائیں
شہریوں <nsubj تقریبات <obj منائیں	شہریوں	تقریبات	منائیں	19	29.9	ABC	3	منائیں
صارفین <nsubj پلان <obj کر	صارفین	پلان	کر	19	29.9	ABC	3	کر
فیصلہ <nsubj موقع <obj کرتا	فیصلہ	موقع	کرتا	19	29.9	ABC	3	کرتا
مشن <obj پرواز <nsubj کیا	مشن	پرواز	کیا	19	29.9	ABC	3	کیا
ٹیم <nsubj وکٹیں <obj دی	ٹیم	وکٹیں	دی	19	29.9	ABC	3	دی
برانڈز <nsubj پیشکشیں <obj کی	برانڈز	پیشکشیں	کی	18	28.3	ABC	3	کی
بولرز <nsubj مشکلات <obj کیں	بولرز	مشکلات	کیں	18	28.3	ABC	3	کیں
ٹیم <nsubj ریکارڈ <obj کیا	ٹیم	ریکارڈ	کیا	18	28.3	ABC	3	کیا
برانڈز <nsubj ڈیلز <obj کئے	برانڈز	ڈیلز	کئے	17	26.7	ABC	3	کئے
حکومت <nsubj امداد <obj کی	حکومت	امداد	کی	17	26.7	ABC	3	کی
صارفین <nsubj کوڈ <obj کرنا	صارفین	کوڈ	کرنا	17	26.7	ABC	3	کرنا
فیصلہ <nsubj دور <obj کرے	فیصلہ	دور	کرے	17	26.7	ABC	3	کرے
ٹیم <nsubj کامیابی <obj کرنی	ٹیم	کامیابی	کرنی	17	26.7	ABC	3	کرنی
کھلاڑیوں <nsubj کام <obj کیا	کھلاڑیوں	کام	کیا	17	26.7	ABC	3	کیا
ارکان <nsubj ناراض <obj ہیں	ارکان	ناراض	ہیں	16	25.2	ABC	3	ہیں
ایپ <nsubj تحذیرات <obj دیتی	ایپ	تحذیرات	دیتی	16	25.2	ABC	3	دیتی
حکومت <nsubj منصوبے <obj کئے	حکومت	منصوبے	کئے	16	25.2	ABC	3	کئے
صارف <nsubj سیکیورٹی <obj بنا	صارف	سیکیورٹی	بنا	16	25.2	ABC	3	بنا
صارفین <nsubj ٹوئیٹس <obj کر	صارفین	ٹوئیٹس	کر	16	25.2	ABC	3	کر
مالک <nsubj بیان <obj کیا	مالک	بیان	کیا	16	25.2	ABC	3	کیا
حکومت <nsubj مقدمہ <obj کیا	حکومت	مقدمہ	کیا	15	23.6	ABC	3	کیا
دہندگان <nsubj تاریخ <obj کر	دہندگان	تاریخ	کر	15	23.6	ABC	3	کر
صارفین <nsubj فلٹرز <obj کرسکتے	صارفین	فلٹرز	کرسکتے	15	23.6	ABC	3	کرسکتے
لوگوں <nsubj خوبصورتی <obj کیا	لوگوں	خوبصورتی	کیا	15	23.6	ABC	3	کیا
مدیران <nsubj بتایا >obj فراہمی	مدیران	بتایا	فراہمی	15	23.6	ABC	3	بتایا
ٹیم <nsubj عنوان <obj کیا	ٹیم	عنوان	کیا	15	23.6	ABC	3	کیا
کارروائی <nsubj فینز <obj بتایا	کارروائی	فینز	بتایا	15	23.6	ABC	3	بتایا
حکومت <nsubj ہدایات <obj کر	حکومت	ہدایات	کر	14	22.0	ABC	3	کر
فلم <nsubj کہانی <obj کرتی	فلم	کہانی	کرتی	14	22.0	ABC	3	کرتی
لیب <nsubj موقع <obj کرتا	لیب	موقع	کرتا	14	22.0	ABC	3	کرتا
ٹیم <nsubj کامیابی <obj کی	ٹیم	کامیابی	کی	14	22.0	ABC	3	کی
ڈیزائنرز <nsubj ویڈیوز <obj کیں	ڈیزائنرز	ویڈیوز	کیں	14	22.0	ABC	3	کیں
حکومت <nsubj کام <obj کر	حکومت	کام	کر	13	20.4	ABC	3	کر
لوگوں <nsubj فوائد <obj ہوں	لوگوں	فوائد	ہوں	13	20.4	ABC	3	ہوں
فینز <nsubj ٹیگز <obj کر	فینز	ٹیگز	کر	12	18.9	ABC	3	کر
لوگوں <nsubj پیسے <obj کرنے	لوگوں	پیسے	کرنے	12	18.9	ABC	3	کرنے
حکومت <nsubj کار <obj کرنا	حکومت	کار	کرنا	11	17.3	ABC	3	کرنا
دوستوں <nsubj یادگاریاں <obj کیں	دوستوں	یادگاریاں	کیں	11	17.3	ABC	3	کیں
جانور <nsubj دانتوں <obj گھسا	جانور	دانتوں	گھسا	10	15.7	ABC	3	گھسا
کریدٹرز <nsubj اثر <obj ہو	کریدٹرز	اثر	ہو	10	15.7	ABC	3	ہو
صارفین <nsubj ڈیٹا <obj کرنا	صارفین	ڈیٹا	کرنا	9	14.1	ABC	3	کرنا
ٹیم <nsubj فینز <obj کر	ٹیم	فینز	کر	9	14.1	ABC	3	کر
الاقوامی <nsubj بیک <obj کرنے	الاقوامی	بیک	کرنے	8	12.6	ABC	3	کرنے
صارفین <nsubj معلومات <obj کرنے	صارفین	معلومات	کرنے	8	12.6	ABC	3	کرنے
فینز <nsubj کمپنی <obj دی	فینز	کمپنی	دی	8	12.6	ABC	3	دی
لوگ <nsubj مہک <obj سونگھ	لوگ	مہک	سونگھ	8	12.6	ABC	3	سونگھ
لوگوں <nsubj قرضے <obj لینے	لوگوں	قرضے	لینے	8	12.6	ABC	3	لینے
لوگوں <nsubj پاکستانیوں <obj ہے	لوگوں	پاکستانیوں	ہے	8	12.6	ABC	3	ہے
معاہدہ <nsubj فرصت <obj کرے	معاہدہ	فرصت	کرے	8	12.6	ABC	3	کرے
مواد <nsubj پروٹینز <obj کرتے	مواد	پروٹینز	کرتے	8	12.6	ABC	3	کرتے
کامیابی <nsubj باب <obj کھول	کامیابی	باب	کھول	8	12.6	ABC	3	کھول
کرکٹر <nsubj کہا >obj استعمال	کرکٹر	کہا	استعمال	8	12.6	ABC	3	کہا
کمپنی <nsubj ایپلیکیشن <obj کی	کمپنی	ایپلیکیشن	کی	8	12.6	ABC	3	کی
