Tree	Transformed_Tree	One	Two	Three	Pattern
kaj <obj jaz <nsubj vem	['kaj <obj', 'jaz <nsubj', 'vem']	O	S	V	OSV
kaj <obj to <nsubj pomeni	['kaj <obj', 'to <nsubj', 'pomeni']	O	S	V	OSV
mi <obj je >nsubj poklic	['mi <obj', 'je', '>nsubj poklic']	O	V	S	OVS
to <nsubj mi <obj zdi	['to <nsubj', 'mi <obj', 'zdi']	S	O	V	SOV
aktiv <nsubj dobi >obj rezultat	['aktiv <nsubj', 'dobi', '>obj rezultat']	S	V	O	SVO
jaz <nsubj ga <obj spomnim	['jaz <nsubj', 'ga <obj', 'spomnim']	S	O	V	SOV
kaj <obj ti <nsubj govoriš	['kaj <obj', 'ti <nsubj', 'govoriš']	O	S	V	OSV
kaj <obj vi <nsubj pravite	['kaj <obj', 'vi <nsubj', 'pravite']	O	S	V	OSV
kar <nsubj mi <obj zdi	['kar <nsubj', 'mi <obj', 'zdi']	S	O	V	SOV
kar <nsubj tega <obj tiče	['kar <nsubj', 'tega <obj', 'tiče']	S	O	V	SOV
kdo <nsubj ga <obj zagleda	['kdo <nsubj', 'ga <obj', 'zagleda']	S	O	V	SOV
kraj <nsubj vam <obj je	['kraj <nsubj', 'vam <obj', 'je']	S	O	V	SOV
mi <nsubj tega <obj predlagali	['mi <nsubj', 'tega <obj', 'predlagali']	S	O	V	SOV
mi <obj bil >nsubj film	['mi <obj', 'bil', '>nsubj film']	O	V	S	OVS
mi <obj je >nsubj film	['mi <obj', 'je', '>nsubj film']	O	V	S	OVS
mi <obj zdi >nsubj to	['mi <obj', 'zdi', '>nsubj to']	O	V	S	OVS
poklic <nsubj mi <obj je	['poklic <nsubj', 'mi <obj', 'je']	S	O	V	SOV
to <nsubj me <obj zanima	['to <nsubj', 'me <obj', 'zanima']	S	O	V	SOV
to <nsubj mi <obj je	['to <nsubj', 'mi <obj', 'je']	S	O	V	SOV
Afganistanca <nsubj našla >obj kovčka	['Afganistanca <nsubj', 'našla', '>obj kovčka']	S	V	O	SVO
David <nsubj imel >obj priložnost	['David <nsubj', 'imel', '>obj priložnost']	S	V	O	SVO
Hegel <nsubj uporablja >obj izraz	['Hegel <nsubj', 'uporablja', '>obj izraz']	S	V	O	SVO
Istro <obj osvojili >nsubj partizani	['Istro <obj', 'osvojili', '>nsubj partizani']	O	V	S	OVS
Italijani <nsubj imajo >obj to	['Italijani <nsubj', 'imajo', '>obj to']	S	V	O	SVO
Izrael <nsubj vpoklical >obj rezervistov	['Izrael <nsubj', 'vpoklical', '>obj rezervistov']	S	V	O	SVO
Jaz <nsubj bi >obj to	['Jaz <nsubj', 'bi', '>obj to']	S	V	O	SVO
Jaz <nsubj predavala >obj ex	['Jaz <nsubj', 'predavala', '>obj ex']	S	V	O	SVO
Jernej <nsubj ima >obj vlogi	['Jernej <nsubj', 'ima', '>obj vlogi']	S	V	O	SVO
Joža <nsubj spoznala >obj mene	['Joža <nsubj', 'spoznala', '>obj mene']	S	V	O	SVO
Jure <nsubj to <obj opravil	['Jure <nsubj', 'to <obj', 'opravil']	S	O	V	SOV
Kristusa <obj odigra >nsubj igralec	['Kristusa <obj', 'odigra', '>nsubj igralec']	O	V	S	OVS
Ljubljana <nsubj dobila >obj cesto	['Ljubljana <nsubj', 'dobila', '>obj cesto']	S	V	O	SVO
Ministrstvo <nsubj pripravila >obj nabor	['Ministrstvo <nsubj', 'pripravila', '>obj nabor']	S	V	O	SVO
Montessori <nsubj ima >obj svoje	['Montessori <nsubj', 'ima', '>obj svoje']	S	V	O	SVO
Nina <nsubj nima >obj predstav	['Nina <nsubj', 'nima', '>obj predstav']	S	V	O	SVO
Poljaki <nsubj tekmo <obj igrali	['Poljaki <nsubj', 'tekmo <obj', 'igrali']	S	O	V	SOV
Radio <nsubj ima >obj napovedovalce	['Radio <nsubj', 'ima', '>obj napovedovalce']	S	V	O	SVO
Razbor <nsubj komuni <obj prodal	['Razbor <nsubj', 'komuni <obj', 'prodal']	S	O	V	SOV
Romi <nsubj izobrazbe <obj pojmujejo	['Romi <nsubj', 'izobrazbe <obj', 'pojmujejo']	S	O	V	SOV
Slovenija <nsubj ima >obj stališča	['Slovenija <nsubj', 'ima', '>obj stališča']	S	V	O	SVO
Slovenija <nsubj je >obj trgu	['Slovenija <nsubj', 'je', '>obj trgu']	S	V	O	SVO
Slovenija <nsubj namenila >obj vrsto	['Slovenija <nsubj', 'namenila', '>obj vrsto']	S	V	O	SVO
Slovenija <nsubj prepevala >obj Samo	['Slovenija <nsubj', 'prepevala', '>obj Samo']	S	V	O	SVO
Slovenija <nsubj priključevala >obj uniji	['Slovenija <nsubj', 'priključevala', '>obj uniji']	S	V	O	SVO
Slovenija <nsubj ustanovila >obj urad	['Slovenija <nsubj', 'ustanovila', '>obj urad']	S	V	O	SVO
Waldorfska <nsubj ima >obj svoje	['Waldorfska <nsubj', 'ima', '>obj svoje']	S	V	O	SVO
[name:organisation] <nsubj ima >obj monopol	['[name:organisation] <nsubj', 'ima', '>obj monopol']	S	V	O	SVO
[name:personal] <nsubj berilo <obj brala	['[name:personal] <nsubj', 'berilo <obj', 'brala']	S	O	V	SOV
[name:personal] <nsubj delale >obj projekt	['[name:personal] <nsubj', 'delale', '>obj projekt']	S	V	O	SVO
[name:personal] <nsubj fanta <obj prevzel	['[name:personal] <nsubj', 'fanta <obj', 'prevzel']	S	O	V	SOV
[name:personal] <nsubj flancatov <obj najedla	['[name:personal] <nsubj', 'flancatov <obj', 'najedla']	S	O	V	SOV
[name:personal] <nsubj ga <obj imele	['[name:personal] <nsubj', 'ga <obj', 'imele']	S	O	V	SOV
[name:personal] <nsubj ga <obj peče	['[name:personal] <nsubj', 'ga <obj', 'peče']	S	O	V	SOV
[name:personal] <nsubj izdala >obj knjigo	['[name:personal] <nsubj', 'izdala', '>obj knjigo']	S	V	O	SVO
[name:personal] <nsubj izrazil >obj željo	['[name:personal] <nsubj', 'izrazil', '>obj željo']	S	V	O	SVO
[name:personal] <nsubj me <obj vprašala	['[name:personal] <nsubj', 'me <obj', 'vprašala']	S	O	V	SOV
[name:personal] <nsubj metal >obj drva	['[name:personal] <nsubj', 'metal', '>obj drva']	S	V	O	SVO
[name:personal] <nsubj mi <obj prinesla	['[name:personal] <nsubj', 'mi <obj', 'prinesla']	S	O	V	SOV
[name:personal] <nsubj mu <obj je	['[name:personal] <nsubj', 'mu <obj', 'je']	S	O	V	SOV
[name:personal] <nsubj nalepke <obj polimala	['[name:personal] <nsubj', 'nalepke <obj', 'polimala']	S	O	V	SOV
[name:personal] <nsubj pove >obj svoje	['[name:personal] <nsubj', 'pove', '>obj svoje']	S	V	O	SVO
[name:personal] <nsubj pripeljal >obj cikular	['[name:personal] <nsubj', 'pripeljal', '>obj cikular']	S	V	O	SVO
atom <nsubj odda >obj elektrone	['atom <nsubj', 'odda', '>obj elektrone']	S	V	O	SVO
atomi <nsubj tvorijo >obj katione	['atomi <nsubj', 'tvorijo', '>obj katione']	S	V	O	SVO
avgust <nsubj ti <obj dogaja	['avgust <nsubj', 'ti <obj', 'dogaja']	S	O	V	SOV
avtobusi <nsubj imajo >obj izkoristek	['avtobusi <nsubj', 'imajo', '>obj izkoristek']	S	V	O	SVO
